nome,camada,data,data_original,hora_marcador,status_data,uf,endereco_ou_localizacao,latitude,longitude,link,site_leiloeiro,fonte_data_hora,link_edital,resumo_edital,descricao
[PREFEITURA]  - VEÍCULOS - Puxinanã - PB,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,PB,"Puxinanã, PB, 58115-000, Brasil",,,https://www.colossoleiloes.com.br/eventos/leilao/85/leilao-prefeitura-de-puxinana,,mapa,,,https://www.colossoleiloes.com.br/eventos/leilao/85/leilao-prefeitura-de-puxinana
[PREFEITURA] - CAMINHÕES/VANS/ÔNIBUS/CAMINHONETES/VEÍCULOS/MÁQUINAS/EQUIPAMENTOS/PRODUTOS/SUCATAS - Itanhandu - MG,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,MG,"R. Lamins, 113, Itanhandu - MG, 37464-000, Brasil",,,https://www.mgl.com.br/leilao/prefeitura-municipal-de-itanhandu-mg/7093/#&Pagina=1&Index=1,,mapa,,,https://www.mgl.com.br/leilao/prefeitura-municipal-de-itanhandu-mg/7093/#&Pagina=1&Index=1
[PREFEITURA] - VEÍCULOS/CAMINHONETES/MÁQUINAS/ÔNIBUS/CAMINHÕES/PRODUTOS/SUCATAS - Ipira - SC,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,SC,"Ipira, SC, 89669-000, Brasil",,,https://www.goldenbrazilleiloes.com.br/leilao/grande-leilao-da-prefeitura-de-ipira-sc-28-05-2026-14-54-40/lotes/lista,,mapa,,,https://www.goldenbrazilleiloes.com.br/leilao/grande-leilao-da-prefeitura-de-ipira-sc-28-05-2026-14-54-40/lotes/lista
[PREFEITURA] - PRODUTOS/EQUIPAMENTOS/VEÍCULOS/MÁQUINAS/CAMINHÕES/VANS/CAMINHONETES/SUCATAS - Ilópolis - RS,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,RS,"Ilópolis, RS, 95990-000, Brasil",,,https://www.peterlongoleiloes.com.br/eventos/leilao/3610/prefeitura-de-ilopolis,,mapa,,,https://www.peterlongoleiloes.com.br/eventos/leilao/3610/prefeitura-de-ilopolis
[PREFEITURA] - SUCATAS - Luís Eduardo Magalhães - BA,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,BA,"Luis Eduardo Magalhães, Luís Eduardo Magalhães - BA, 47850-000, Brasil",,,https://www.focoleiloes.com.br/leilao/486/lotes,,mapa,,,https://www.focoleiloes.com.br/leilao/486/lotes
[PREFEITURA] - SUCATAS - Luís Eduardo Magalhães - BA,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,BA,"Luis Eduardo Magalhães, Luís Eduardo Magalhães - BA, 47850-000, Brasil",,,https://www.focoleiloes.com.br/leilao/487/lotes,,mapa,,,https://www.focoleiloes.com.br/leilao/487/lotes
[PREFEITURA] - MOTOS/VEÍCULOS - Luís Eduardo Magalhães - BA,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,BA,"Luis Eduardo Magalhães, Luís Eduardo Magalhães - BA, 47850-000, Brasil",,,https://www.focoleiloes.com.br/leilao/488/lotes,,mapa,,,https://www.focoleiloes.com.br/leilao/488/lotes
[PREFEITURA] - VEÍCULOS/VANS/CAMINHONETES/ÔNIBUS/EQUIPAMENTOS/MÁQUINAS/SUCATAS	- Victor Graeff - RS,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,RS,"Victor Graeff, RS, 99350-000, Brasil",,,https://www.cargneluttileiloes.com.br/leilao/4417/lotes,,mapa,,,https://www.cargneluttileiloes.com.br/leilao/4417/lotes
[PREFEITURA] - VEÍCULOS/CAMINHONETES/ÔNIBUS/MOTOS/SUCATAS - Palminópolis - GO,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,GO,"GO-162, Palminópolis - GO, Brasil",,,https://drive.google.com/file/d/1hdGi9Zer1Zf_8VUqBwadx1Ze0gDvIyoz/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1hdGi9Zer1Zf_8VUqBwadx1Ze0gDvIyoz/view?usp=drive_link
[PREFEITURA] - SUCATAS/CAMINHÕES/MÁQUINAS/MOTOS/PRODUTOS - Rio do Sul - SC,ATUALIZAÇÃO 06/07/2026,2026-07-07,07/07/2026,4:00,futuro_ou_hoje,SC,"Rio do Sul, SC, Brasil",,,https://www.danielgarcialeiloes.com.br/leilao/7657/lotes,,mapa,,,https://www.danielgarcialeiloes.com.br/leilao/7657/lotes
